Year;blue Satisfaction;red Satisfaction;yellow Satisfaction;brown Satisfaction
2675;56.0;55.0;57.0;52.0
2680;56.0;56.0;58.0;52.0
2685;56.0;56.0;58.0;52.0
2690;56.0;56.0;58.0;53.0
2695;57.0;56.0;57.0;53.0
2700;57.0;56.0;57.0;53.0
2705;57.0;56.0;57.0;53.0
2710;57.0;56.0;57.0;53.0
2715;57.0;56.0;57.0;53.0
2720;57.0;56.0;57.0;53.0
2725;57.0;56.0;58.0;53.0
2730;58.0;56.0;57.0;53.0
2735;58.0;56.0;57.0;54.0
2740;58.0;56.0;57.0;54.0
2745;58.0;56.0;57.0;54.0
2750;58.0;56.0;57.0;54.0
2755;58.0;56.0;57.0;54.0
2760;58.0;56.0;57.0;54.0
2765;58.0;57.0;57.0;54.0
2770;58.0;57.0;57.0;54.0
2775;58.0;57.0;57.0;54.0
2780;59.0;57.0;57.0;54.0
2785;59.0;57.0;57.0;54.0
2790;59.0;57.0;57.0;54.0
2795;58.0;57.0;57.0;54.0
2800;58.0;57.0;58.0;54.0
2805;58.0;57.0;58.0;54.0
2810;58.0;57.0;58.0;53.0
2815;59.0;57.0;58.0;54.0
2820;59.0;57.0;58.0;54.0
2825;59.0;57.0;58.0;54.0
2830;59.0;57.0;58.0;54.0
2835;59.0;58.0;58.0;54.0
2840;60.0;58.0;58.0;54.0
2845;60.0;58.0;58.0;54.0
2850;60.0;58.0;58.0;54.0
2855;60.0;58.0;58.0;54.0
2860;60.0;58.0;58.0;54.0
2865;60.0;58.0;59.0;54.0
2870;60.0;58.0;59.0;54.0
2875;60.0;59.0;59.0;54.0
2880;60.0;59.0;59.0;54.0
2885;60.0;59.0;59.0;54.0
2890;60.0;59.0;59.0;55.0
2895;60.0;59.0;59.0;55.0
2900;60.0;59.0;59.0;55.0
2905;60.0;59.0;60.0;55.0
2910;60.0;59.0;60.0;55.0
2915;60.0;59.0;60.0;55.0
2920;60.0;59.0;60.0;55.0
2925;60.0;59.0;60.0;55.0
2930;59.0;59.0;60.0;56.0
2935;60.0;59.0;60.0;55.0
2940;60.0;59.0;60.0;56.0
2945;60.0;59.0;60.0;56.0
2950;60.0;59.0;60.0;55.0
2955;60.0;59.0;60.0;55.0
2960;60.0;59.0;60.0;55.0
2965;60.0;59.0;60.0;55.0
2970;60.0;59.0;60.0;55.0
2975;60.0;59.0;60.0;55.0
2980;60.0;59.0;60.0;55.0
2985;60.0;59.0;61.0;55.0
2990;60.0;59.0;61.0;56.0
2995;60.0;60.0;61.0;56.0
3000;61.0;60.0;61.0;56.0
3005;61.0;60.0;61.0;55.0
3010;61.0;60.0;61.0;55.0
3015;61.0;61.0;62.0;55.0
3020;61.0;61.0;62.0;55.0
3025;61.0;61.0;62.0;55.0
3030;61.0;61.0;62.0;56.0
3035;61.0;61.0;62.0;56.0
3040;61.0;61.0;62.0;56.0
3045;61.0;61.0;62.0;55.0
3050;61.0;61.0;62.0;56.0
3055;61.0;61.0;62.0;56.0
3060;61.0;61.0;62.0;56.0
3065;61.0;62.0;62.0;56.0
3070;61.0;62.0;62.0;56.0
3075;61.0;62.0;62.0;56.0
3080;61.0;62.0;62.0;56.0
3085;61.0;62.0;62.0;55.0
3090;61.0;62.0;62.0;55.0
3095;62.0;62.0;62.0;55.0
3100;62.0;62.0;62.0;55.0
3105;62.0;62.0;62.0;55.0
3110;62.0;62.0;62.0;55.0
3115;62.0;62.0;62.0;55.0
3120;62.0;62.0;62.0;55.0
3125;62.0;62.0;62.0;55.0
3130;62.0;62.0;62.0;55.0
3135;62.0;62.0;62.0;55.0
3140;62.0;62.0;62.0;56.0
3145;63.0;62.0;63.0;56.0
3150;63.0;62.0;63.0;56.0
3155;63.0;62.0;63.0;56.0
